timestamp,X,Y,Z
1724408277670,-15.000000,-1000.000000,-61.000000
1724408277685,-6.000000,-1005.000000,-77.000000
1724408277710,-12.000000,-1003.000000,-78.000000
1724408277716,-18.000000,-1002.000000,-72.000000
1724408277758,-17.000000,-1004.000000,-73.000000
1724408277768,-12.000000,-1008.000000,-83.000000
1724408277779,-12.000000,-1008.000000,-85.000000
1724408277800,-20.000000,-1004.000000,-77.000000
1724408277826,-23.000000,-1000.000000,-73.000000
1724408277842,-24.000000,-996.000000,-67.000000
1724408277846,-26.000000,-995.000000,-61.000000
1724408277853,-22.000000,-996.000000,-65.000000
1724408277895,-17.000000,-1003.000000,-73.000000
1724408277908,-16.000000,-1008.000000,-77.000000
1724408277933,-18.000000,-1007.000000,-78.000000
1724408277948,-24.000000,-1004.000000,-71.000000
1724408277951,-29.000000,-1002.000000,-65.000000
1724408277978,-28.000000,-1000.000000,-66.000000
1724408277982,-21.000000,-997.000000,-71.000000
1724408278025,-22.000000,-999.000000,-73.000000
1724408278032,-25.000000,-1004.000000,-74.000000
1724408278067,-23.000000,-1006.000000,-76.000000
1724408278115,-23.000000,-1006.000000,-76.000000
1724408278122,-22.000000,-1003.000000,-73.000000
1724408278129,-26.000000,-1002.000000,-70.000000
1724408278142,-25.000000,-1004.000000,-70.000000
1724408278158,-19.000000,-1006.000000,-72.000000
1724408278167,-24.000000,-1001.000000,-71.000000
1724408278178,-37.000000,-995.000000,-67.000000
1724408278206,-37.000000,-994.000000,-62.000000
1724408278223,-30.000000,-994.000000,-62.000000
1724408278246,-28.000000,-999.000000,-67.000000
1724408278258,-27.000000,-1004.000000,-71.000000
1724408278291,-28.000000,-1005.000000,-74.000000
1724408278296,-27.000000,-1006.000000,-76.000000
1724408278301,-25.000000,-1004.000000,-74.000000
1724408278340,-26.000000,-1001.000000,-69.000000
1724408278349,-33.000000,-999.000000,-67.000000
1724408278384,-33.000000,-997.000000,-68.000000
1724408278392,-25.000000,-999.000000,-73.000000
1724408278401,-24.000000,-1002.000000,-74.000000
1724408278520,-28.000000,-1006.000000,-71.000000
1724408278528,-29.000000,-1009.000000,-74.000000
1724408278536,-28.000000,-1004.000000,-72.000000
1724408278540,-31.000000,-999.000000,-66.000000
1724408278562,-33.000000,-998.000000,-64.000000
1724408278569,-33.000000,-998.000000,-64.000000
1724408278573,-30.000000,-998.000000,-67.000000
1724408278582,-27.000000,-1002.000000,-73.000000
1724408278612,-24.000000,-1006.000000,-81.000000
1724408278621,-25.000000,-1006.000000,-83.000000
1724408278629,-26.000000,-1006.000000,-78.000000
1724408278637,-28.000000,-1005.000000,-69.000000
1724408278663,-28.000000,-997.000000,-65.000000
1724408278669,-29.000000,-996.000000,-65.000000
1724408278695,-34.000000,-998.000000,-67.000000
1724408278704,-30.000000,-1003.000000,-72.000000
1724408278742,-27.000000,-1006.000000,-76.000000
1724408278752,-24.000000,-1002.000000,-77.000000
1724408278762,-27.000000,-1000.000000,-75.000000
1724408278790,-31.000000,-1002.000000,-71.000000
1724408278842,-30.000000,-1000.000000,-72.000000
1724408278853,-29.000000,-996.000000,-76.000000
1724408278864,-30.000000,-998.000000,-77.000000
1724408278873,-32.000000,-1001.000000,-76.000000
1724408278889,-31.000000,-1005.000000,-77.000000
1724408278909,-27.000000,-1003.000000,-78.000000
1724408278922,-26.000000,-1000.000000,-77.000000
1724408278929,-31.000000,-1001.000000,-75.000000
1724408278966,-31.000000,-1001.000000,-75.000000
1724408278975,-31.000000,-1001.000000,-75.000000
1724408278988,-26.000000,-1002.000000,-77.000000
1724408279017,-26.000000,-1004.000000,-76.000000
1724408279025,-27.000000,-1005.000000,-74.000000
1724408279067,-31.000000,-1002.000000,-72.000000
1724408279079,-30.000000,-999.000000,-69.000000
1724408279099,-26.000000,-1000.000000,-68.000000
1724408279103,-25.000000,-1007.000000,-63.000000
