timestamp,X,Y,Z
1722606674210,2.000000,-939.000000,-334.000000
1722606674260,-6.000000,-941.000000,-336.000000
1722606674280,-9.000000,-946.000000,-331.000000
1722606674291,-17.000000,-944.000000,-340.000000
1722606674303,-23.000000,-944.000000,-345.000000
1722606674348,-16.000000,-940.000000,-333.000000
1722606674358,-16.000000,-940.000000,-333.000000
1722606674362,-20.000000,-939.000000,-339.000000
1722606674391,-46.000000,-943.000000,-333.000000
1722606674401,-46.000000,-943.000000,-333.000000
1722606674431,-50.000000,-947.000000,-329.000000
1722606674441,-5.000000,-947.000000,-354.000000
1722606674445,-18.000000,-956.000000,-332.000000
1722606674472,-43.000000,-950.000000,-298.000000
1722606674483,-10.000000,-941.000000,-330.000000
1722606674535,16.000000,-945.000000,-350.000000
1722606674553,14.000000,-943.000000,-315.000000
1722606674565,-15.000000,-940.000000,-291.000000
1722606674575,-69.000000,-951.000000,-290.000000
1722606674581,-50.000000,-961.000000,-302.000000
1722606674607,17.000000,-957.000000,-318.000000
1722606674615,-6.000000,-960.000000,-308.000000
1722606674650,-78.000000,-965.000000,-307.000000
1722606674657,-78.000000,-965.000000,-307.000000
1722606674666,-89.000000,-962.000000,-295.000000
1722606674714,-58.000000,-956.000000,-265.000000
1722606674721,-60.000000,-953.000000,-257.000000
1722606674741,-87.000000,-955.000000,-254.000000
1722606674747,-95.000000,-952.000000,-245.000000
1722606674847,-99.000000,-945.000000,-236.000000
1722606674855,-112.000000,-947.000000,-252.000000
1722606674867,-116.000000,-958.000000,-273.000000
1722606674886,-112.000000,-978.000000,-283.000000
1722606674895,-114.000000,-983.000000,-296.000000
1722606674901,-88.000000,-965.000000,-297.000000
1722606674903,-49.000000,-962.000000,-285.000000
1722606674908,-61.000000,-972.000000,-291.000000
1722606674932,-86.000000,-972.000000,-311.000000
1722606674936,-65.000000,-961.000000,-314.000000
1722606674982,-33.000000,-956.000000,-302.000000
1722606674997,-37.000000,-962.000000,-294.000000
1722606675005,-29.000000,-968.000000,-301.000000
1722606675014,2.000000,-967.000000,-301.000000
1722606675023,1.000000,-965.000000,-288.000000
1722606675075,-15.000000,-966.000000,-285.000000
1722606675092,8.000000,-961.000000,-300.000000
