timestamp,X,Y,Z
1724409880613,-29.000000,-975.000000,-207.000000
1724409880619,-34.000000,-977.000000,-211.000000
1724409880624,-26.000000,-980.000000,-218.000000
1724409880669,-24.000000,-981.000000,-224.000000
1724409880679,-27.000000,-977.000000,-224.000000
1724409880700,-27.000000,-975.000000,-212.000000
1724409880708,-32.000000,-977.000000,-205.000000
1724409880712,-33.000000,-978.000000,-211.000000
1724409880768,-29.000000,-978.000000,-217.000000
1724409880773,-29.000000,-973.000000,-213.000000
1724409880793,-33.000000,-971.000000,-198.000000
1724409880803,-42.000000,-973.000000,-188.000000
1724409880845,-43.000000,-981.000000,-188.000000
1724409880854,-24.000000,-991.000000,-207.000000
1724409880862,-10.000000,-989.000000,-231.000000
1724409880887,-10.000000,-989.000000,-231.000000
1724409880896,-27.000000,-984.000000,-236.000000
1724409880927,-28.000000,-983.000000,-231.000000
1724409880933,-23.000000,-976.000000,-221.000000
1724409880940,-35.000000,-972.000000,-212.000000
1724409880974,-30.000000,-974.000000,-215.000000
1724409880985,-24.000000,-981.000000,-211.000000
1724409881084,-29.000000,-986.000000,-210.000000
1724409881089,-37.000000,-978.000000,-215.000000
1724409881096,-38.000000,-974.000000,-216.000000
1724409881104,-35.000000,-976.000000,-216.000000
1724409881110,-33.000000,-975.000000,-213.000000
1724409881126,-32.000000,-974.000000,-209.000000
1724409881131,-32.000000,-976.000000,-211.000000
1724409881148,-33.000000,-978.000000,-214.000000
1724409881159,-33.000000,-977.000000,-217.000000
1724409881163,-34.000000,-977.000000,-220.000000
1724409881214,-38.000000,-985.000000,-221.000000
1724409881219,-36.000000,-988.000000,-224.000000
1724409881240,-27.000000,-980.000000,-224.000000
1724409881249,-26.000000,-979.000000,-223.000000
1724409881286,-34.000000,-970.000000,-220.000000
1724409881294,-35.000000,-963.000000,-213.000000
1724409881302,-37.000000,-974.000000,-212.000000
1724409881344,-37.000000,-980.000000,-220.000000
1724409881356,-39.000000,-980.000000,-220.000000
1724409881422,-34.000000,-984.000000,-226.000000
1724409881432,-26.000000,-985.000000,-219.000000
1724409881442,-24.000000,-980.000000,-217.000000
1724409881447,-38.000000,-973.000000,-218.000000
1724409881453,-39.000000,-968.000000,-218.000000
1724409881476,-30.000000,-971.000000,-222.000000
1724409881480,-31.000000,-973.000000,-225.000000
1724409881524,-16.000000,-975.000000,-234.000000
1724409881529,-24.000000,-967.000000,-228.000000
1724409881535,-50.000000,-954.000000,-216.000000
1724409881556,-48.000000,-950.000000,-201.000000
1724409881563,-49.000000,-957.000000,-186.000000
1724409881599,-33.000000,-959.000000,-202.000000
1724409881609,16.000000,-957.000000,-225.000000
1724409881615,14.000000,-974.000000,-246.000000
1724409881665,26.000000,-985.000000,-276.000000
1724409881674,34.000000,-979.000000,-256.000000
1724409881754,-33.000000,-958.000000,-199.000000
1724409881760,-165.000000,-939.000000,-153.000000
1724409881765,-215.000000,-947.000000,-132.000000
1724409881769,-153.000000,-956.000000,-171.000000
1724409881772,-133.000000,-966.000000,-216.000000
1724409881778,-133.000000,-966.000000,-216.000000
1724409881782,-91.000000,-983.000000,-274.000000
1724409881848,-18.000000,-995.000000,-347.000000
1724409881854,13.000000,-996.000000,-359.000000
1724409881863,16.000000,-985.000000,-341.000000
1724409881874,1.000000,-971.000000,-325.000000
1724409881888,-37.000000,-962.000000,-297.000000
1724409881918,-51.000000,-952.000000,-294.000000
1724409881931,-24.000000,-952.000000,-289.000000
