timestamp,temp
1717163658376,24.200001
1717163659413,24.200001
1717163660452,24.200001
1717163661488,24.200001
1717163662522,24.200001
1717163663571,24.200001
1717163664649,24.200001
1717163665674,24.200001
1717163666707,24.200001
1717163667806,24.200001
1717163668829,24.200001
1717163669855,24.200001
1717163670892,24.200001
1717163671941,24.000000
1717163672970,24.200001
1717163674010,24.000000
1717163675073,24.200001
1717163676106,24.200001
1717163677153,24.200001
1717163678202,24.000000
1717163679261,24.000000
1717163680294,24.200001
