timestamp,temp
1717167103665,23.500000
1717167104655,23.500000
1717167105698,23.500000
1717167106762,23.500000
1717167107803,23.500000
1717167108853,23.500000
1717167109878,23.500000
1717167110908,23.500000
1717167111984,23.500000
1717167113023,23.500000
1717167114050,23.500000
1717167115091,23.500000
1717167116146,23.500000
1717167117173,23.500000
1717167118238,23.500000
1717167119286,23.500000
1717167120310,23.500000
1717167121383,23.500000
1717167122423,23.500000
1717167123523,23.500000
1717167124499,23.500000
1717167125581,23.500000
