timestamp,X,Y,Z
1722608005666,1.400000,-0.600000,-1.600000
1722608005673,1.300000,-0.600000,-1.300000
1722608005679,1.200000,-0.200000,-1.100000
1722608005697,1.600000,-0.200000,-1.200000
1722608005703,2.100000,-1.200000,-1.400000
1722608005747,2.300000,-1.000000,-1.400000
1722608005752,1.900000,0.200000,-1.100000
1722608005788,1.500000,0.200000,-1.100000
1722608005798,1.500000,-0.100000,-1.300000
1722608005834,1.300000,-0.400000,-1.300000
1722608005843,1.000000,-0.400000,-1.100000
1722608005853,0.700000,-0.700000,-0.900000
1722608005879,0.700000,-0.400000,-0.900000
1722608005887,1.100000,-0.400000,-0.900000
1722608005921,1.600000,-0.700000,-0.900000
1722608005927,2.000000,0.000000,-0.800000
1722608005974,2.300000,0.800000,-0.700000
1722608005981,2.500000,0.900000,-0.700000
1722608005992,2.600000,0.900000,-0.700000
1722608006011,2.500000,1.000000,-0.800000
1722608006023,2.100000,1.300000,-0.900000
1722608006057,1.900000,1.400000,-0.900000
1722608006066,1.500000,1.100000,-0.900000
1722608006116,1.000000,-0.200000,-1.300000
1722608006128,1.100000,-0.400000,-1.500000
1722608006151,1.400000,0.000000,-1.400000
1722608006155,1.400000,0.200000,-1.100000
1722608006188,1.300000,-0.100000,-1.100000
1722608006194,1.500000,-0.200000,-1.100000
1722608006202,1.600000,-0.400000,-1.100000
1722608006242,1.600000,-0.200000,-0.900000
1722608006248,1.100000,1.200000,-0.900000
1722608006254,0.800000,1.300000,-0.900000
1722608006286,0.400000,0.000000,-1.100000
1722608006295,0.400000,-0.900000,-1.400000
1722608006330,0.200000,-0.700000,-1.400000
1722608006342,0.000000,0.200000,-1.200000
1722608006366,0.000000,-0.300000,-1.300000
1722608006374,0.400000,-0.900000,-1.400000
1722608006380,0.700000,-0.900000,-1.600000
1722608006431,0.600000,-0.400000,-1.400000
1722608006439,0.500000,0.200000,-1.100000
1722608006467,0.700000,0.200000,-0.900000
1722608006484,0.500000,-0.300000,-1.100000
1722608006505,0.500000,-0.900000,-1.300000
1722608006510,0.400000,-0.600000,-1.200000
1722608006547,0.200000,-0.100000,-0.900000
1722608006555,0.000000,0.000000,-0.900000
1722608006570,0.000000,-0.200000,-1.000000
1722608006596,0.100000,-0.500000,-1.100000
1722608006606,0.400000,-0.100000,-1.000000
1722608006695,0.200000,0.400000,-0.900000
1722608006705,0.000000,0.000000,-1.000000
1722608006710,-0.700000,-0.400000,-0.900000
1722608006721,-2.100000,0.000000,-0.700000
1722608006744,-2.800000,-1.600000,-1.000000
1722608006746,-3.400000,-3.000000,-1.400000
1722608006752,-3.700000,-2.300000,-1.600000
1722608006776,-4.300000,-2.600000,-1.800000
1722608006783,-5.100000,-2.800000,-1.800000
1722608006820,-5.700000,-2.600000,-1.600000
1722608006826,-5.900000,-2.300000,-1.400000
1722608006835,-5.500000,-2.700000,-1.200000
1722608006874,-5.100000,-3.100000,-1.000000
1722608006880,-4.400000,-3.000000,-0.700000
