timestamp,X,Y,Z
1716454485444,319.600006,112.699997,105.699997
1716454485466,9.200000,21.700001,-0.600000
1716454485492,-0.300000,-2.500000,-2.100000
1716454485557,-0.200000,-1.800000,-2.100000
1716454485577,-0.200000,-2.000000,-2.100000
1716454485593,-0.200000,-3.000000,-2.300000
1716454485603,-0.100000,-3.400000,-2.500000
1716454485606,-0.200000,-3.800000,-2.500000
1716454485681,-0.400000,-3.600000,-2.500000
1716454485696,-0.600000,-4.000000,-2.500000
1716454485708,-0.700000,-5.000000,-2.400000
1716454485725,-0.600000,-3.700000,-2.100000
1716454485735,-0.100000,-0.400000,-1.500000
1716454485740,0.200000,1.000000,-1.200000
1716454485764,0.700000,0.000000,-1.300000
1716454485777,1.200000,-1.300000,-1.400000
1716454485780,1.700000,-1.100000,-1.400000
1716454485811,2.300000,0.200000,-1.100000
1716454485823,2.200000,1.100000,-0.900000
1716454485864,2.300000,0.700000,-1.100000
1716454485877,2.400000,0.400000,-1.200000
1716454485896,2.400000,0.000000,-1.100000
1716454485905,2.500000,0.200000,-1.000000
1716454485915,2.500000,0.700000,-0.900000
1716454486000,2.300000,1.400000,-0.700000
1716454486010,2.300000,1.200000,-0.400000
1716454486019,2.600000,0.900000,-0.400000
1716454486026,2.800000,1.300000,-0.400000
1716454486046,3.500000,1.600000,-0.300000
1716454486052,4.800000,1.600000,-0.100000
1716454486058,2.500000,2.600000,0.000000
1716454486078,0.700000,5.500000,0.100000
1716454486087,-0.200000,7.500000,0.200000
1716454486127,0.000000,5.900000,0.000000
1716454486134,0.500000,2.500000,-0.200000
1716454486174,1.400000,0.500000,-0.600000
1716454486215,2.000000,-0.700000,-0.700000
1716454486226,2.100000,-1.200000,-0.700000
1716454486233,2.000000,-0.100000,-0.700000
1716454486241,1.100000,1.800000,-0.100000
1716454486259,-0.400000,5.300000,0.400000
1716454486268,-1.000000,7.600000,0.800000
1716454486306,-0.900000,6.900000,0.600000
1716454486316,-0.300000,5.700000,0.400000
1716454486359,0.000000,5.100000,0.300000
1716454486370,0.100000,5.000000,0.200000
1716454486377,0.200000,3.900000,0.000000
1716454486394,0.000000,3.600000,0.300000
1716454486405,-0.800000,5.400000,0.700000
1716454486439,-1.400000,6.600000,1.000000
1716454486454,-1.400000,5.700000,0.900000
1716454486489,-0.900000,2.300000,0.600000
1716454486505,0.000000,-0.700000,0.300000
1716454486513,0.700000,-1.800000,0.100000
1716454486528,0.700000,-1.600000,0.400000
1716454486627,-1.400000,3.000000,0.900000
1716454486640,-1.700000,3.900000,1.100000
1716454486655,-2.200000,4.600000,0.900000
1716454486675,-2.400000,3.100000,0.400000
1716454486683,-2.500000,1.000000,0.200000
1716454486715,-2.700000,0.900000,0.100000
1716454486723,-3.200000,2.300000,0.300000
1716454486757,-3.900000,3.100000,0.600000
1716454486770,-4.800000,5.100000,1.100000
1716454486798,-5.300000,8.000000,1.800000
1716454486806,-4.300000,7.400000,2.100000
1716454486821,-3.200000,6.800000,2.200000
1716454486857,-2.300000,6.400000,2.300000
1716454486868,-1.300000,5.100000,2.500000
1716454486890,-0.900000,4.100000,3.100000
1716454486904,-0.700000,3.300000,3.700000
1716454486933,-0.500000,3.100000,4.400000
1716454486941,-0.400000,2.500000,4.700000
1716454486946,0.000000,-0.300000,4.600000
1716454486981,0.500000,-3.700000,4.400000
1716454486989,0.900000,-5.600000,4.200000
1716454487020,1.100000,-7.000000,4.400000
1716454487025,1.400000,-9.100000,4.500000
1716454487090,1.600000,-12.700000,4.300000
1716454487103,1.800000,-17.000000,3.900000
1716454487111,1.800000,-19.000000,3.800000
1716454487130,1.400000,-17.200001,3.900000
1716454487134,0.000000,-13.500000,3.900000
1716454487164,-2.800000,-9.600000,3.500000
1716454487182,-7.700000,-6.700000,2.300000
1716454487201,-15.500000,-4.400000,0.900000
1716454487209,-25.500000,-4.000000,-0.700000
1716454487249,-37.799999,-4.400000,-2.300000
1716454487258,-53.299999,-3.000000,-5.800000
1716454487266,-67.400002,-8.400000,-11.900000
1716454487297,-76.300003,-19.200001,-22.299999
1716454487306,-74.599998,-38.500000,-31.799999
1716454487338,-52.000000,-65.099998,-35.500000
1716454487347,-6.400000,-65.199997,-26.299999
1716454487394,43.000000,-46.099998,-8.100000
1716454487413,81.900002,-44.500000,5.700000
1716454487424,103.800003,-47.200001,12.700000
1716454487435,111.099998,-38.000000,16.700001
1716454487440,110.400002,-35.200001,18.400000
1716454487471,110.500000,-48.900002,16.600000
1716454487479,112.400002,-57.099998,16.700001
1716454487541,110.500000,-44.000000,18.200001
1716454487552,104.000000,-17.900000,22.600000
1716454487558,95.000000,4.700000,26.700001
1716454487562,83.000000,13.000000,27.799999
1716454487574,71.599998,6.400000,24.500000
1716454487612,59.700001,-5.000000,18.799999
1716454487620,47.299999,-16.100000,10.200000
1716454487652,32.400002,-27.299999,1.800000
1716454487658,15.100000,-31.700001,-9.100000
1716454487708,-3.200000,-37.500000,-22.100000
1716454487715,-27.299999,-34.200001,-29.100000
1716454487721,-41.700001,17.500000,-24.299999
1716454487740,-53.200001,84.300003,-21.200001
1716454487746,-84.000000,63.200001,-16.400000
1716454487818,-72.099998,14.100000,-28.100000
1716454487826,-78.400002,-18.700001,-39.599998
1716454487856,-70.599998,-17.500000,-42.299999
1716454487870,-61.099998,-19.900000,-44.799999
1716454487880,-56.599998,-24.200001,-41.099998
1716454487895,-54.700001,-21.400000,-33.799999
1716454487897,-53.299999,-1.300000,-26.200001
1716454487938,-50.200001,6.800000,-20.900000
1716454487945,-44.900002,6.000000,-18.600000
1716454487969,-40.299999,5.400000,-17.200001
1716454487980,-39.400002,12.900000,-16.299999
1716454487986,-39.400002,10.900000,-17.100000
1716454488012,-40.599998,7.800000,-18.799999
1716454488019,-41.900002,5.900000,-20.100000
1716454488076,-43.099998,5.600000,-20.700001
1716454488088,-44.799999,5.100000,-21.000000
1716454488100,-46.799999,1.100000,-21.600000
1716454488106,-51.099998,-4.400000,-23.700001
1716454488157,-56.400002,-8.100000,-25.600000
1716454488166,-61.500000,-10.900000,-23.799999
1716454488172,-65.300003,-7.100000,-23.799999
1716454488192,-68.500000,-6.900000,-25.500000
1716454488251,-74.099998,-9.300000,-27.000000
1716454488266,-85.199997,-10.200000,-30.100000
1716454488281,-102.099998,-19.299999,-34.299999
1716454488294,-130.399994,-23.100000,-31.700001
1716454488300,-164.100006,-10.500000,-33.799999
1716454488307,-191.800003,-28.000000,-41.599998
1716454488336,-198.500000,-38.299999,-41.000000
1716454488342,-193.100006,11.900000,-29.700001
1716454488386,-176.100006,45.099998,-20.600000
1716454488430,-109.599998,26.799999,-18.400000
1716454488449,-4.400000,54.799999,3.900000
1716454488468,67.199997,24.100000,18.900000
1716454488478,150.199997,-83.900002,30.299999
1716454488484,197.500000,-132.500000,43.000000
1716454488486,230.699997,-83.000000,45.099998
1716454488515,238.600006,-14.000000,62.299999
1716454488524,240.699997,-0.600000,69.199997
1716454488557,245.300003,-33.099998,67.800003
1716454488568,255.399994,-24.000000,64.900002
1716454488598,264.399994,10.700000,65.800003
1716454488605,265.000000,-2.700000,62.000000
1716454488616,250.600006,-49.500000,50.299999
1716454488646,227.199997,-33.200001,36.000000
1716454488661,192.300003,16.500000,33.400002
1716454488685,159.300003,17.700001,31.600000
1716454488697,132.100006,-25.100000,17.500000
1716454488750,104.900002,-45.900002,4.500000
1716454488761,75.599998,-36.299999,-3.600000
1716454488777,39.099998,-14.000000,-7.900000
1716454488795,-11.200000,-8.200000,-19.100000
1716454488801,-63.400002,1.100000,-30.799999
1716454488832,-75.099998,33.799999,-33.299999
1716454488842,-51.500000,79.099998,-26.500000
1716454488864,-112.300003,27.100000,-23.600000
1716454488872,-98.199997,-94.300003,-37.299999
1716454488880,-85.099998,-80.099998,-46.200001
1716454488916,-88.000000,31.799999,-36.099998
1716454488926,-89.599998,83.199997,-22.600000
1716454488969,-69.800003,2.300000,-41.299999
1716454488984,-60.400002,-86.500000,-49.799999
1716454489003,-54.200001,-75.099998,-46.200001
1716454489011,-58.299999,-10.600000,-32.200001
1716454489052,-60.400002,-8.900000,-28.900000
1716454489061,-60.099998,-33.400002,-28.900000
1716454489069,-59.000000,-28.000000,-24.000000
1716454489092,-60.599998,-5.200000,-17.200001
1716454489098,-61.799999,4.900000,-16.299999
1716454489144,-62.200001,5.100000,-18.500000
1716454489153,-64.800003,8.100000,-19.299999
1716454489188,-66.500000,5.900000,-22.600000
1716454489192,-69.199997,-0.400000,-26.799999
1716454489196,-72.900002,-6.400000,-29.200001
1716454489235,-76.400002,-9.500000,-30.400000
1716454489275,-77.300003,-11.900000,-30.799999
1716454489288,-78.599998,-11.200000,-29.100000
1716454489300,-83.099998,-9.900000,-30.299999
1716454489315,-90.500000,-11.200000,-32.900002
1716454489326,-109.000000,-17.000000,-39.900002
1716454489333,-142.699997,-39.799999,-39.900002
1716454489381,-181.199997,-50.299999,-47.299999
1716454489395,-213.699997,-47.500000,-44.599998
1716454489410,-223.699997,-24.400000,-34.299999
1716454489417,-218.300003,33.000000,-19.799999
1716454489467,-176.899994,62.799999,-2.900000
1716454489475,-96.300003,71.800003,11.900000
1716454489487,22.000000,72.400002,38.400002
1716454489506,84.599998,-1.900000,69.099998
1716454489516,158.300003,-84.699997,97.199997
1716454489540,219.300003,-75.500000,109.900002
1716454489546,266.399994,-17.900000,123.300003
1716454489592,282.299988,38.799999,132.000000
1716454489602,279.799988,30.500000,132.800003
1716454489644,292.600006,-29.299999,115.300003
1716454489658,303.100006,-71.400002,83.300003
1716454489672,305.899994,-61.599998,57.400002
1716454489687,287.700012,-40.900002,58.700001
1716454489692,248.500000,-9.500000,71.699997
1716454489721,199.300003,52.900002,74.900002
1716454489730,144.600006,82.599998,65.500000
1716454489773,93.300003,51.700001,38.500000
1716454489781,40.299999,-6.000000,5.500000
1716454489796,-15.600000,-23.400000,-19.000000
1716454489819,-66.000000,6.400000,-33.000000
1716454489825,-50.599998,73.199997,-31.500000
1716454489869,-76.000000,68.400002,-52.099998
1716454489875,-121.000000,-7.200000,-40.400002
1716454489907,-94.400002,-125.500000,-70.400002
1716454489923,-88.800003,-97.500000,-83.599998
1716454489944,-86.500000,68.900002,-38.400002
1716454489949,-80.699997,103.199997,-25.100000
1716454489951,-60.200001,9.500000,-41.200001
1716454490004,-53.299999,-47.799999,-46.099998
1716454490012,-48.599998,-37.599998,-43.599998
1716454490044,-46.400002,-7.900000,-38.200001
1716454490056,-43.599998,-8.100000,-35.400002
1716454490085,-45.200001,-14.300000,-32.200001
1716454490092,-49.700001,0.900000,-27.400000
1716454490097,-55.299999,15.100000,-22.700001
1716454490132,-59.599998,15.200000,-21.700001
1716454490136,-63.700001,14.800000,-21.799999
1716454490177,-66.500000,12.300000,-22.200001
1716454490186,-68.800003,8.000000,-25.100000
1716454490219,-70.199997,2.200000,-28.700001
1716454490228,-68.199997,-7.000000,-35.200001
1716454490240,-67.300003,-14.600000,-36.599998
1716454490276,-68.800003,-17.200001,-35.599998
1716454490312,-72.000000,-14.400000,-33.500000
1716454490325,-78.500000,-8.800000,-30.299999
1716454490335,-88.500000,-6.200000,-29.799999
1716454490355,-102.900002,-19.000000,-37.500000
1716454490376,-124.500000,-37.099998,-45.700001
1716454490381,-157.399994,-41.500000,-43.400002
1716454490396,-185.699997,-32.900002,-40.400002
1716454490404,-206.399994,-38.000000,-35.000000
1716454490454,-216.199997,-18.600000,-30.100000
1716454490460,-195.199997,17.799999,-11.200000
1716454490491,-168.800003,50.400002,4.600000
1716454490505,-101.199997,79.900002,18.200001
1716454490531,2.500000,83.000000,29.200001
1716454490537,69.500000,-11.800000,48.700001
1716454490547,126.900002,-122.400002,81.599998
1716454490589,192.399994,-131.800003,88.199997
1716454490602,241.100006,-52.299999,100.099998
1716454490619,264.100006,41.500000,114.300003
1716454490625,272.500000,74.199997,124.300003
1716454490694,275.799988,11.400000,114.699997
1716454490704,283.700012,-67.699997,92.300003
1716454490728,286.000000,-84.599998,64.599998
1716454490742,280.899994,-64.800003,41.799999
1716454490754,271.299988,-26.700001,28.200001
1716454490770,241.199997,30.900000,35.500000
1716454490776,199.899994,57.799999,58.799999
1716454490819,163.300003,67.400002,52.900002
1716454490825,125.000000,47.299999,31.500000
