timestamp,X,Y,Z
1716455617363,0.500000,1.300000,-4.800000
1716455617371,0.600000,1.700000,-4.400000
1716455617385,0.400000,2.100000,-4.000000
1716455617412,1.100000,2.400000,-3.700000
1716455617419,1.400000,2.400000,-3.200000
1716455617458,1.300000,2.300000,-3.000000
1716455617466,1.100000,2.400000,-2.800000
1716455617541,1.000000,2.900000,-2.700000
1716455617547,1.100000,3.000000,-2.600000
1716455617553,1.400000,2.800000,-2.600000
1716455617559,1.300000,2.800000,-2.500000
1716455617587,0.900000,3.000000,-2.300000
1716455617592,0.600000,3.000000,-2.100000
1716455617596,0.500000,2.800000,-2.100000
1716455617633,0.400000,2.400000,-1.900000
1716455617638,0.400000,2.600000,-1.600000
1716455617679,0.400000,2.400000,-1.500000
1716455617687,0.300000,1.800000,-1.600000
1716455617692,0.200000,0.800000,-1.500000
1716455617725,0.000000,0.200000,-1.600000
1716455617735,0.200000,0.500000,-1.500000
1716455617769,0.200000,0.700000,-1.400000
1716455617784,0.000000,0.500000,-1.100000
1716455617815,-0.300000,0.700000,-1.200000
1716455617821,-0.800000,1.400000,-1.200000
1716455617827,-0.800000,2.500000,-1.100000
1716455617861,-0.500000,2.800000,-1.100000
1716455617869,-0.100000,2.500000,-1.000000
1716455617948,0.000000,2.600000,-1.200000
1716455617955,-0.200000,2.600000,-1.200000
1716455617962,-0.200000,3.000000,-1.200000
1716455617970,-0.100000,3.500000,-1.100000
1716455617997,-0.200000,3.200000,-1.100000
1716455618005,-0.300000,2.900000,-1.000000
1716455618013,-0.700000,2.700000,-0.900000
1716455618040,-0.700000,2.500000,-0.900000
1716455618048,-0.900000,2.100000,-0.900000
1716455618084,-0.700000,1.200000,-0.900000
1716455618088,-0.700000,0.900000,-1.100000
1716455618128,-0.600000,1.500000,-1.000000
1716455618137,0.000000,1.300000,-1.100000
1716455618173,0.400000,0.200000,-1.400000
1716455618181,0.400000,-0.900000,-1.600000
1716455618195,0.000000,-1.400000,-1.600000
1716455618224,0.200000,-1.500000,-1.700000
1716455618231,0.200000,-1.400000,-1.600000
1716455618265,0.200000,-1.700000,-1.600000
1716455618282,0.600000,-1.800000,-1.400000
1716455618308,0.900000,-1.600000,-1.300000
1716455618320,0.400000,-0.700000,-0.800000
