timestamp,X,Y,Z
1717163597857,-64.000000,384.000000,291.000000
1717163597869,-78.000000,409.000000,288.000000
1717163597897,-79.000000,382.000000,304.000000
1717163597906,-103.000000,390.000000,300.000000
1717163597943,-76.000000,399.000000,292.000000
1717163597952,-70.000000,400.000000,300.000000
1717163598006,-73.000000,399.000000,303.000000
1717163598017,-72.000000,402.000000,286.000000
1717163598030,-96.000000,406.000000,289.000000
1717163598036,-82.000000,405.000000,306.000000
1717163598052,-79.000000,405.000000,294.000000
1717163598092,-79.000000,378.000000,289.000000
1717163598103,-87.000000,396.000000,306.000000
1717163598123,-79.000000,376.000000,309.000000
1717163598132,-72.000000,385.000000,300.000000
1717163598173,-73.000000,400.000000,288.000000
1717163598181,-69.000000,402.000000,295.000000
1717163598210,-88.000000,388.000000,288.000000
1717163598216,-76.000000,400.000000,294.000000
1717163598262,-105.000000,403.000000,292.000000
1717163598280,-75.000000,403.000000,292.000000
1717163598307,-87.000000,385.000000,297.000000
1717163598353,-102.000000,406.000000,289.000000
1717163598367,-78.000000,384.000000,303.000000
1717163598381,-91.000000,390.000000,295.000000
1717163598388,-81.000000,384.000000,300.000000
1717163598399,-84.000000,400.000000,274.000000
1717163598407,-84.000000,375.000000,295.000000
1717163598434,-84.000000,403.000000,297.000000
1717163598443,-105.000000,393.000000,294.000000
1717163598502,-94.000000,388.000000,300.000000
1717163598521,-88.000000,388.000000,288.000000
1717163598537,-111.000000,387.000000,280.000000
1717163598545,-99.000000,402.000000,277.000000
1717163598571,-97.000000,373.000000,289.000000
1717163598577,-103.000000,396.000000,279.000000
1717163598628,-100.000000,382.000000,277.000000
1717163598639,-90.000000,384.000000,274.000000
1717163598646,-99.000000,397.000000,268.000000
1717163598668,-106.000000,381.000000,267.000000
1717163598679,-97.000000,382.000000,283.000000
1717163598712,-105.000000,381.000000,277.000000
1717163598725,-109.000000,376.000000,282.000000
1717163598757,-114.000000,370.000000,279.000000
1717163598770,-112.000000,381.000000,271.000000
1717163598801,-97.000000,391.000000,271.000000
1717163598813,-108.000000,378.000000,285.000000
1717163598850,-105.000000,364.000000,264.000000
1717163598862,-100.000000,390.000000,264.000000
1717163598897,-124.000000,393.000000,262.000000
1717163598903,-112.000000,378.000000,273.000000
1717163598932,-114.000000,387.000000,274.000000
1717163598937,-108.000000,396.000000,279.000000
1717163598944,-121.000000,378.000000,267.000000
1717163598989,-118.000000,370.000000,268.000000
1717163598997,-132.000000,388.000000,283.000000
1717163599028,-124.000000,381.000000,256.000000
1717163599036,-123.000000,373.000000,273.000000
1717163599078,-109.000000,375.000000,276.000000
1717163599093,-127.000000,385.000000,277.000000
1717163599117,-103.000000,379.000000,268.000000
1717163599124,-126.000000,385.000000,258.000000
1717163599162,-111.000000,375.000000,273.000000
1717163599174,-109.000000,388.000000,265.000000
1717163599207,-123.000000,369.000000,271.000000
1717163599215,-109.000000,369.000000,273.000000
1717163599250,-124.000000,378.000000,265.000000
1717163599256,-124.000000,373.000000,259.000000
1717163599270,-126.000000,381.000000,268.000000
1717163599295,-118.000000,382.000000,244.000000
1717163599302,-127.000000,372.000000,273.000000
1717163599342,-130.000000,382.000000,271.000000
1717163599394,-115.000000,363.000000,250.000000
1717163599406,-129.000000,373.000000,265.000000
1717163599422,-132.000000,388.000000,270.000000
1717163599437,-139.000000,376.000000,259.000000
1717163599441,-121.000000,370.000000,268.000000
1717163599473,-136.000000,369.000000,252.000000
1717163599481,-133.000000,382.000000,271.000000
1717163599530,-133.000000,384.000000,265.000000
1717163599539,-130.000000,363.000000,270.000000
1717163599549,-132.000000,384.000000,268.000000
1717163599565,-139.000000,375.000000,268.000000
1717163599572,-129.000000,384.000000,247.000000
1717163599619,-136.000000,382.000000,267.000000
1717163599632,-132.000000,361.000000,249.000000
1717163599656,-136.000000,367.000000,265.000000
1717163599675,-124.000000,366.000000,255.000000
1717163599698,-145.000000,373.000000,274.000000
1717163599706,-141.000000,381.000000,267.000000
1717163599755,-133.000000,378.000000,261.000000
1717163599778,-145.000000,366.000000,262.000000
1717163599792,-141.000000,388.000000,262.000000
1717163599808,-129.000000,364.000000,264.000000
1717163599820,-135.000000,363.000000,265.000000
1717163599831,-132.000000,372.000000,262.000000
1717163599836,-118.000000,358.000000,276.000000
1717163599894,-124.000000,357.000000,268.000000
1717163599907,-111.000000,381.000000,271.000000
1717163599924,-129.000000,343.000000,283.000000
1717163599930,-138.000000,370.000000,286.000000
1717163599981,-132.000000,349.000000,274.000000
1717163599994,-130.000000,337.000000,297.000000
1717163600016,-126.000000,352.000000,286.000000
1717163600033,-135.000000,360.000000,307.000000
1717163600066,-133.000000,340.000000,283.000000
1717163600075,-129.000000,319.000000,313.000000
1717163600110,-97.000000,339.000000,316.000000
1717163600118,-102.000000,324.000000,325.000000
1717163600145,-109.000000,337.000000,325.000000
1717163600151,-100.000000,330.000000,297.000000
1717163600156,-99.000000,339.000000,301.000000
1717163600195,-102.000000,342.000000,298.000000
1717163600201,-120.000000,328.000000,276.000000
1717163600241,-109.000000,333.000000,279.000000
1717163600254,-121.000000,339.000000,252.000000
1717163600290,-106.000000,333.000000,235.000000
1717163600299,-136.000000,330.000000,225.000000
1717163600327,-123.000000,322.000000,226.000000
1717163600333,-123.000000,322.000000,219.000000
1717163600377,-133.000000,322.000000,210.000000
1717163600387,-132.000000,331.000000,190.000000
1717163600474,-141.000000,315.000000,190.000000
1717163600487,-138.000000,324.000000,186.000000
1717163600494,-136.000000,307.000000,174.000000
1717163600500,-139.000000,321.000000,157.000000
1717163600523,-124.000000,318.000000,180.000000
1717163600527,-144.000000,315.000000,174.000000
1717163600533,-132.000000,310.000000,178.000000
1717163600558,-133.000000,304.000000,178.000000
1717163600572,-132.000000,322.000000,154.000000
1717163600599,-144.000000,309.000000,175.000000
1717163600609,-153.000000,321.000000,174.000000
1717163600643,-144.000000,312.000000,163.000000
1717163600708,-136.000000,315.000000,169.000000
1717163600716,-139.000000,331.000000,162.000000
1717163600722,-141.000000,321.000000,144.000000
1717163600731,-127.000000,319.000000,166.000000
1717163600753,-141.000000,315.000000,157.000000
1717163600757,-129.000000,322.000000,171.000000
1717163600781,-129.000000,318.000000,157.000000
1717163600790,-144.000000,319.000000,178.000000
1717163600836,-127.000000,327.000000,183.000000
1717163600845,-139.000000,322.000000,174.000000
1717163600874,-136.000000,333.000000,201.000000
1717163600883,-108.000000,324.000000,180.000000
1717163600920,-117.000000,328.000000,187.000000
1717163600932,-132.000000,337.000000,189.000000
1717163600962,-118.000000,348.000000,207.000000
1717163600971,-114.000000,340.000000,204.000000
1717163601005,-117.000000,331.000000,199.000000
1717163601013,-108.000000,334.000000,210.000000
1717163601020,-87.000000,333.000000,207.000000
1717163601053,-109.000000,336.000000,225.000000
1717163601064,-105.000000,342.000000,243.000000
1717163601093,-93.000000,328.000000,226.000000
1717163601102,-96.000000,331.000000,235.000000
1717163601146,-85.000000,325.000000,228.000000
1717163601160,-96.000000,337.000000,226.000000
1717163601187,-85.000000,342.000000,235.000000
1717163601193,-100.000000,327.000000,252.000000
1717163601228,-93.000000,336.000000,244.000000
1717163601238,-82.000000,330.000000,264.000000
1717163601276,-84.000000,328.000000,258.000000
1717163601282,-85.000000,339.000000,265.000000
1717163601332,-78.000000,333.000000,238.000000
1717163601337,-78.000000,343.000000,271.000000
1717163601343,-67.000000,333.000000,268.000000
1717163601361,-73.000000,336.000000,265.000000
1717163601373,-51.000000,328.000000,247.000000
1717163601416,-69.000000,348.000000,264.000000
1717163601424,-69.000000,337.000000,267.000000
1717163601502,-67.000000,333.000000,273.000000
1717163601511,-61.000000,333.000000,276.000000
1717163601522,-76.000000,328.000000,262.000000
1717163601528,-72.000000,334.000000,271.000000
1717163601545,-70.000000,324.000000,274.000000
1717163601555,-90.000000,333.000000,276.000000
1717163601596,-55.000000,327.000000,283.000000
1717163601605,-72.000000,330.000000,264.000000
1717163601613,-58.000000,330.000000,271.000000
1717163601636,-61.000000,324.000000,282.000000
1717163601642,-81.000000,324.000000,289.000000
1717163601688,-70.000000,340.000000,271.000000
1717163601695,-70.000000,328.000000,280.000000
1717163601737,-72.000000,327.000000,286.000000
1717163601743,-67.000000,328.000000,289.000000
1717163601772,-64.000000,310.000000,301.000000
1717163601777,-72.000000,336.000000,292.000000
1717163601822,-73.000000,328.000000,313.000000
1717163601833,-64.000000,313.000000,292.000000
1717163601861,-63.000000,312.000000,294.000000
1717163601876,-82.000000,300.000000,310.000000
1717163601900,-61.000000,324.000000,324.000000
1717163601905,-58.000000,316.000000,301.000000
1717163601919,-75.000000,312.000000,313.000000
1717163601952,-58.000000,306.000000,318.000000
1717163601959,-66.000000,309.000000,315.000000
1717163601998,-69.000000,294.000000,327.000000
1717163602004,-73.000000,292.000000,339.000000
1717163602047,-70.000000,301.000000,334.000000
1717163602055,-87.000000,277.000000,348.000000
1717163602088,-75.000000,283.000000,343.000000
1717163602107,-87.000000,271.000000,363.000000
1717163602127,-79.000000,253.000000,361.000000
1717163602137,-97.000000,255.000000,348.000000
1717163602174,-93.000000,250.000000,349.000000
1717163602182,-81.000000,235.000000,361.000000
1717163602222,-85.000000,231.000000,361.000000
1717163602231,-76.000000,207.000000,388.000000
1717163602239,-63.000000,207.000000,411.000000
1717163602263,-75.000000,192.000000,403.000000
1717163602275,-57.000000,189.000000,424.000000
1717163602313,-73.000000,168.000000,427.000000
1717163602326,-66.000000,166.000000,405.000000
1717163602357,-78.000000,177.000000,432.000000
1717163602370,-87.000000,180.000000,412.000000
1717163602402,-91.000000,189.000000,427.000000
1717163602410,-115.000000,198.000000,420.000000
1717163602441,-118.000000,222.000000,397.000000
1717163602449,-129.000000,270.000000,378.000000
1717163602490,-156.000000,274.000000,355.000000
1717163602541,-147.000000,301.000000,337.000000
1717163602549,-181.000000,312.000000,315.000000
1717163602559,-175.000000,321.000000,285.000000
1717163602568,-181.000000,348.000000,246.000000
1717163602578,-172.000000,351.000000,252.000000
1717163602582,-174.000000,364.000000,232.000000
1717163602638,-177.000000,358.000000,226.000000
1717163602645,-162.000000,366.000000,238.000000
1717163602670,-150.000000,342.000000,235.000000
1717163602679,-169.000000,369.000000,255.000000
1717163602711,-172.000000,381.000000,258.000000
1717163602719,-144.000000,382.000000,267.000000
1717163602759,-150.000000,372.000000,288.000000
1717163602776,-151.000000,379.000000,291.000000
1717163602813,-165.000000,367.000000,303.000000
1717163602823,-135.000000,384.000000,295.000000
1717163602834,-130.000000,373.000000,322.000000
1717163602849,-135.000000,397.000000,324.000000
1717163602860,-130.000000,382.000000,348.000000
1717163602895,-121.000000,363.000000,343.000000
1717163602907,-124.000000,364.000000,369.000000
1717163602942,-135.000000,373.000000,373.000000
1717163602948,-112.000000,369.000000,370.000000
1717163602995,-93.000000,376.000000,379.000000
1717163603001,-117.000000,378.000000,373.000000
1717163603028,-118.000000,364.000000,387.000000
1717163603033,-102.000000,348.000000,400.000000
1717163603073,-112.000000,367.000000,385.000000
1717163603082,-99.000000,352.000000,393.000000
1717163603135,-109.000000,366.000000,403.000000
1717163603143,-103.000000,352.000000,403.000000
1717163603152,-105.000000,349.000000,420.000000
1717163603162,-97.000000,354.000000,403.000000
1717163603176,-117.000000,349.000000,420.000000
1717163603221,-117.000000,361.000000,424.000000
1717163603231,-94.000000,355.000000,399.000000
1717163603259,-118.000000,342.000000,420.000000
1717163603266,-127.000000,352.000000,433.000000
1717163603308,-123.000000,342.000000,417.000000
1717163603314,-115.000000,322.000000,429.000000
1717163603350,-106.000000,331.000000,435.000000
1717163603355,-121.000000,333.000000,439.000000
1717163603392,-130.000000,310.000000,447.000000
1717163603397,-123.000000,306.000000,445.000000
